user_id,first_name,last_name,email,phone,home_neighbourhood,home_latitude,home_longitude,user_type,preferred_categories,max_search_distance_km,total_sessions,created_at
USR0001,Brian,Nakamya,brian.nakamya45@company.co.ug,772459731,Nakasero,0.319187,32.580655,customer,Retail - Electronics|Logistics & Transport|IT & Software Services|Beauty & Wellness,6,41,2025-11-12 05:49:23
USR0002,Catherine,Ssentongo,catherine_ssentongo83@gmail.com,701810032,Nakasero,0.3216,32.586439,business_owner,Manufacturing & Production|Retail - Clothing & Fashion,4,72,2026-01-15 12:55:30
USR0003,Edith,Akello,edith.akello24@company.co.ug,756789237,Ntinda,0.341025,32.611234,business_owner,Logistics & Transport|Construction & Hardware,6,50,2025-11-01 00:21:35
USR0004,Nathan,Kiprotich,nathan.kiprotich74@company.co.ug,701938338,Ntinda,0.344104,32.612496,customer,Retail - Electronics|Restaurant & Catering|Education & Training|Logistics & Transport,11,41,2026-02-15 01:49:44
USR0005,Oscar,Wasswa,oscar_wasswa46@gmail.com,782747351,Wandegeya,0.338863,32.572715,business_owner,Education & Training,5,41,2025-11-21 07:34:33
USR0006,Ugochi,Ssemakula,ugochissemakula19@outlook.com,752507333,Nakasero,0.318928,32.580103,customer,Logistics & Transport|Education & Training,11,23,2026-02-07 13:08:48
USR0007,Gloria,Namubiru,gloria_namubiru58@yahoo.com,752156215,Nakasero,0.322059,32.586615,customer,Agriculture & Supplies|Financial Services,11,65,2026-02-25 02:49:48
USR0008,Brian,Nabwire,briannabwire57@ug.com,782275377,Ntinda,0.338579,32.611247,business_owner,Retail - General|Restaurant & Catering|Food & Beverage,11,37,2025-11-30 07:52:05
USR0009,Edith,Mulindwa,edithmulindwa66@ug.com,701700534,Wandegeya,0.338571,32.573426,business_owner,Manufacturing & Production|Agriculture & Supplies|Beauty & Wellness,5,57,2026-02-06 00:22:33
USR0010,Christine,Ssemakula,christine.ssemakula39@company.co.ug,701571578,Wandegeya,0.339314,32.574035,customer,Beauty & Wellness,3,27,2026-03-25 08:01:16
USR0011,Michael,Ssentongo,michaelssentongo81@company.co.ug,782274044,Ntinda,0.342313,32.617279,business_owner,Construction & Hardware,5,69,2025-12-20 12:47:00
USR0012,James,Nabukenya,james_nabukenya38@company.co.ug,752380329,Ntinda,0.344667,32.615115,both,Retail - Clothing & Fashion,6,8,2026-04-26 20:57:47
USR0013,Irene,Ssentongo,irene.ssentongo92@yahoo.com,772968726,Nakasero,0.317733,32.585748,customer,Construction & Hardware|Education & Training,5,54,2026-01-06 08:58:57
USR0014,Emmanuel,Kato,emmanuelkato96@ug.com,772828449,Nakasero,0.322554,32.581953,both,Construction & Hardware|Retail - General|Beauty & Wellness,3,59,2026-02-21 20:31:02
USR0015,Xavier,Nakamya,xavier.nakamya55@ug.com,702618746,Wandegeya,0.339343,32.573798,customer,Construction & Hardware|Agriculture & Supplies,6,44,2026-04-09 06:31:50
